Nome(0);Ano(1);Filme(2);Categoria(3);Pontuacao(4);Visualizações(5);Poster(6);Link(7);Sinopse(8);20220123192757
Spider-Man: No Way Home;2021;Filme;Ação;00;0;spider-man_no_way_home.jpg;https://www.youtube.com/watch?v=JfVOs4VSpmA ;Pela primeira vez na história cinematográfica de Spider-Man, a identidade do nosso herói amigo da vizinhança é revelada, colocando as suas responsabilidades de super-herói em conflito com a sua vida pessoal/normal e colocando em risco aqueles com quem se preocupa. Peter pede ajuda a Dr. Strange para restaurar o seu segredo, o feitiço abre um buraco no seu mundo, libertando os vilões mais poderosos que já lutaram contra Spider-Man em qualquer universo.;20220123192757
Euphoria;2019;Série;Drama;00;0;euphoria.jpg;https://www.youtube.com/watch?v=6XGnv7Zgbeg ;Um grupo de estudantes do ensino médio lida com diferentes situações típicas da idade como drogas, sexo, busca pela identidade, traumas, comportamento nas redes sociais e amizade.;20220123192757
The Addams Family;1991;Filme;Comédia;00;0;the_addams_family.jpg;https://www.youtube.com/watch?v=G388UMkJIBE ;Quando um homem dizendo ser Funério, o irmão desaparecido de Gomez Addams, chega à casa dos Addams, a família está feliz. No entanto, Morticia começa a suspeitar que Funério é uma fraude, já que ele não consegue se lembrar de detalhes da sua vida. Com a ajuda do advogado Tully Alford, Funério consegue fazer com que o clã Addams seja despejado de sua casa. Gomez percebe que os dois homens estão conspirando para roubar a fortuna de sua família.;20220123192757
Sing! 2;2021;Filme;Animação;00;0;sing!_2.jpg;https://www.youtube.com/watch?v=EPZu5MA2uqI ;Na glamourosa cidade de Redshore, Buster Moon e a galera enfrentam seus medos, fazem novos amigos e superam seus limites em uma jornada para convencer o recluso astro Clay Calloway a subir aos palcos novamente.;20220123192757
Stranger Things;2016;Série;Ficção Científica;00;0;stranger_things.jpg;https://www.youtube.com/watch?v=b9EkMc79ZSU ;Will, um garoto de 12 anos, desaparece em Montauk, Long Island. Enquanto a polícia, família e amigos procuram respostas, eles mergulham em um extraordinário mistério, envolvendo um experimento secreto do governo, forças sobrenaturais e uma garotinha.;20220123192757
Why Him;2016;Filme;Comédia Romântica;00;0;why_him.jpg;https://www.youtube.com/watch?v=CO6qLC4cL8E ;Um pai leva sua família para visitar sua filha - que está estudando em Stanford - no Natal e, posteriormente, entra em uma competição com o namorado de sua filha, um jovem bilionário.;20220123192757
Shake It Up;2010;Série;Dança;00;0;shake_it_up.jpg;https://www.youtube.com/watch?v=tluNl82r4i0 ;Duas dançarinas sonhadoras tentam se virar em um trabalho como coadjuvantes em um programa de TV.;20220123192757
Agent Carter;2015;Série;Espionagem;00;0;agent_carter.jpg;https://www.youtube.com/watch?v=qPiMNPlbijw ;Peggy Carter é uma agente secreta dedicada a combater ameaças atômicas após a 2a. Guerra Mundial. Ela inicia uma nova missão em Los Angeles, com grandes ameaças amores e novos amores.;20220123192757
Fantastic Beasts and Where to Find Them;2016;Filme;Fantasia;00;0;fantastic_beasts_and_where_to_find_them.jpg;https://www.youtube.com/watch?v=ViuDsy7yb8M ;Um excêntrico magizoologista carrega uma maleta cheia de animais mágicos coletados durante suas viagens pelo mundo. As criaturas acabam saindo de sua mala em Nova York, e agora ele precisa usar suas habilidades para capturá-las.;20220123192757
Hacksaw Ridge;2016;Filme;Guerra;00;0;hacksaw_ridge.jpg;https://www.youtube.com/watch?v=s2-1hz1juBI ;Acompanhe a história de Desmond T. Doss, um médico do exército americano que, durante a Segunda Guerra Mundial, se recusa a pegar em armas. Durante a Batalha de Okinawa ele trabalha na ala médica e salva cerca de 75 homens.;20220123192757
Outer Banks;2020;Série;Aventura;00;0;outer_banks.jpg;https://www.youtube.com/watch?v=uk_hFfUFXh4 ;O jovem John convoca seus melhores amigos para procurarem por um tesouro ligado ao desaparecimento de seu pai. Aos poucos, o grupo vai entrando em uma perigosa trama de segredos e perigos.;20220123192757
Dark;2017;Série;Mistério;00;0;dark.jpg;https://www.youtube.com/watch?v=rrwycJ08PSA ;Os mistérios sombrios de uma pequena cidade alemã são expostos quando duas crianças desaparecem. Enquanto as famílias procuram os dois desaparecidos, eles descobrem uma trama de indivíduos conectados com a história conturbada da cidade.;20220123192757
Hannah Montana;2006;Série;Musical;00;0;hannah_montana.jpg;https://www.youtube.com/watch?v=wKlZINoE49s ;Embora pareça ser uma adolescente comum para seus colegas e professores durante o dia, à noite Miley se transforma na famosa cantora Hannah Montana. Somente sua família e amigos mais próximos conhecem sua identidade secreta.;20220123192757
Brooklyn Nine-Nine;2013;Série;Policial;00;0;brooklyn_nine-nine.jpg;https://www.youtube.com/watch?v=sEOuJ4z5aTc ;Jake Peralta é um detetive brilhante e ao mesmo tempo imaturo, que nunca precisou se preocupar em respeitar as regras. Tudo muda quando um capitão exigente assume o comando de seu esquadrão e Jake deve aprender a trabalhar em equipe.;20220123192757
Me Before You;2016;Filme;Romance;00;0;me_before_you.jpg;https://www.youtube.com/watch?v=Eh993__rOxA ;De origem modesta e sem grandes aspirações, a peculiar Louisa Clark é contratada para ser cuidadora de Will, um jovem tetraplégico depressivo e cínico.;20220123192757
It;2017;Filme;Terror;00;0;it.jpg;https://www.youtube.com/watch?v=FnCdOQsX5kc ;Um grupo de crianças se une para investigar o misterioso desaparecimento de vários jovens em sua cidade. Eles descobrem que o culpado é Pennywise, um palhaço cruel que se alimenta de seus medos e cuja violência teve origem há vários séculos.;20220123192757
The Sinner;2017;Série;Thriller;00;0;the_sinner.jpg;https://www.youtube.com/watch?v=ZEfnpFuzxnE ;Um detetive busca respostas para crimes perturbadores enquanto luta contra os próprios demônios.;20220123192757
